ticker,trade_number,entry_date,entry_price,exit_date,exit_price,return_pct,winner,next_open_entry_price,next_open_return_pct,next_open_winner,rsi14_signal,rsi_change_signal,volume_ratio_signal,volume_percentile60_signal,rsi14_prior,volume_ratio_prior,volume_percentile60_prior,atr_pct_prior,above_sma200_prior,sma50_over_200_prior,return_5d_prior,return_20d_prior,body_pct_signal,close_location_signal,price_change_signal,price_up_signal,rsi_cross_up_50,rsi_cross_up_50_price_up,rsi_cross_up_50_last_3_price_up,forward_return_1d_from_close,forward_return_1d_from_next_open,forward_return_5d_from_close,forward_return_5d_from_next_open,forward_return_10d_from_close,forward_return_10d_from_next_open,forward_return_20d_from_close,forward_return_20d_from_next_open,anchor_span,bars_after_anchor,line_drop_pct,breakout_pct
AAPL,144,2025-04-28,210.0,2025-04-29,208.69,-0.924,0,208.69,-0.3,0,52.52430018346911,0.5701185438444227,0.4890017179954326,0.16666666666666666,51.954181639624686,0.4827718784998697,0.15,4.424333477738088,0,0,6.244288760280248,-6.5088228724592305,0.06666666666666017,0.6633663366336593,0.41093272171253137,1,0,0,1,0.5091843532882834,1.2075327040107275,-5.353573807937561,-4.695960515597308,0.3093175977919582,1.0062772533422804,-4.72542114780622,-4.063443384925003,,,,
AAPL,145,2025-04-30,211.21,2025-05-01,209.08,-1.308,0,209.08,-0.3,0,54.198007295143704,0.9306875095083385,0.6724812947591242,0.5833333333333334,53.267319785635365,0.4651406583299642,0.13333333333333333,4.037746604534069,0,0,5.742465204766201,-4.916040156665014,1.5289058767319583,0.8437047756874083,0.6107665356754,1,0,0,0,0.38588235294116924,2.027931892098711,-7.647058823529407,-6.136407116893061,-0.07999999999999119,1.5544289267266143,-5.905882352941183,-4.366749569542772,,,,
AAPL,146,2025-05-06,198.21,2025-05-07,198.21,-0.3,0,199.17,-0.782000301250178,0,43.11144670145139,-0.26558021891720074,0.6681582756215996,0.48333333333333334,43.37702692036859,0.8681805479933329,0.8,4.190432514768022,0,0,-5.353573807937561,5.57914852956789,0.15135462388375104,0.41046831955922386,-0.19106038513750923,0,0,0,0,-1.1384816885799176,-1.4660842496359794,7.264117676691351,6.908670984586052,4.206337212231137,3.8610232464728833,2.1711752556546227,1.832605312044988,2.0,1.0,4.790924432777048,0.11111672306682097
AAPL,147,2025-05-12,210.97,2025-05-13,210.43,-0.556,0,210.43,-0.3,0,54.9224300396086,11.055737839431721,1.1070753683637502,0.75,43.86669220017688,0.589118092450617,0.1,3.706832047083395,0,0,-3.321158996834672,4.259006406890031,-0.08532018770441618,0.8938053097345094,6.175389109958185,1,1,1,1,1.0152284263959421,1.1880435299149283,-0.9535556715214111,-0.7841087297438598,-5.019213435172443,-4.856721950292253,-3.852175150623849,-3.6876871168559755,,,,
AAPL,148,2025-05-28,200.59,2025-05-29,200.42,-0.385,0,203.58,-1.852215345318806,0,44.980104654793465,0.24922822671919675,0.8116042635103513,0.25,44.73087642807427,1.0236687654951326,0.6,3.1302233541181703,0,0,-4.104799310278762,-4.72542114780622,-0.08474998753677447,0.18374558303886387,0.10488986564105574,1,0,0,0,-0.2345075341782299,-1.7830828175655844,1.1974852809100822,-0.37331761469693303,-0.8182816086218847,-2.357795461243739,0.28939227621993524,-1.2673150604185168,6.0,4.0,3.644390175174949,0.2966716111935343
AAPL,149,2025-06-06,203.58,2025-06-09,203.0,-0.585,0,204.39,-0.9800724105875955,0,50.405962478264335,4.951222014990563,0.9057819765950401,0.31666666666666665,45.45474046327377,1.0575488875191386,0.6,2.6355518460258094,0,0,0.3400850212553097,2.2318471337579693,0.4532019704433436,0.5123287671232843,1.6398345212580434,1,1,1,1,-1.211259317379365,-1.4384265375018357,-3.663201255394277,-3.884730172709039,-1.1867398979992116,-1.413963501149751,2.9864652805021485,2.7496452859729015,,,,
AAPL,150,2025-06-18,196.0017,2025-07-14,209.8143,6.747,1,198.24,5.538529055690069,1,42.28971999196585,1.7077391300233344,0.869942580918897,0.31666666666666665,40.58198086194252,0.7394775668123659,0.16666666666666666,2.412641014928901,0,0,-3.4686929491291263,-6.293706293706302,0.3266306012044579,0.6040000000000078,0.4804743406256584,1,0,0,0,2.248448468816755,1.3922518159806163,2.248448468816755,1.3922518159806163,8.632617763760297,7.722962066182415,7.427001729575733,6.527441485068608,6.0,1.0,3.5177846274279556,1.7006658107213317e-05
AAPL,151,2025-07-16,210.3,2025-07-17,210.16,-0.367,0,210.57,-0.49470959775846346,0,57.64587913418913,1.7990254547414963,0.8808817108327092,0.43333333333333335,55.846853679447634,0.7779343796331838,0.16666666666666666,2.0019494872574373,0,0,-0.4285510213799193,6.444387884958025,-0.06657156443177117,0.4042553191489368,0.5021280665678196,1,0,0,0,-0.06661591168632963,-0.2611958018711058,1.8985534830605388,1.7001472194519751,-0.5281690140845008,-0.7218502160801554,11.024933384088321,10.808757182884566,,,,
AAPL,152,2025-07-18,210.87,2025-07-30,210.87,-0.3,0,212.1,-0.8799151343705751,0,59.41690403610359,2.1063251440354094,0.8970274584225064,0.4666666666666667,57.31057889206818,0.8879145927983161,0.45,1.9125990449983408,0,0,-1.125182430205729,7.350235125741178,0.1470100061649368,0.7081339712918736,0.552328349680975,1,0,0,0,0.6155885974050479,0.1791607732201772,1.2785301638412738,0.8392267798208453,-4.167061274741934,-4.582743988684578,9.6647409792594,9.189061763319195,,,,
AAPL,153,2025-08-05,203.4,2025-08-08,220.83,8.269,1,205.63,7.091917521762398,1,37.379967233950936,-0.7370932687032479,0.8594132199467108,0.25,38.11706050265418,1.4981655230024706,0.9,2.081990513336354,0,0,-4.998832048586788,-3.143605620385803,-0.23598820058997944,0.23899371069182052,-0.21145807720679421,0,0,0,0,5.0906761285235635,3.705684968146672,13.172678888231815,11.681174925837666,13.621131480386373,12.123717356416863,17.51921939680663,15.970432329912953,3.0,1.0,3.4874941009910407,0.6698122545946579
