symbol,timestamp_ny,session,Open,High,Low,Close,Volume,Dividends,Stock Splits,volume_nonzero
PLTR,2026-09-18T17:30:00-04:00,after hours,177.74,177.83,177.25,177.35,0,0.0,0.0,False
PLTR,2026-09-18T18:00:00-04:00,after hours,177.38,177.64,177.25,177.6247,0,0.0,0.0,False
PLTR,2026-09-18T18:30:00-04:00,after hours,177.4,182.92,177.4,177.47,0,0.0,0.0,False
PLTR,2026-09-18T19:00:00-04:00,after hours,177.47,177.6,177.4,177.55,0,0.0,0.0,False
PLTR,2026-09-18T19:30:00-04:00,after hours,177.5,177.55,177.0465,177.37,0,0.0,0.0,False
PLTR,2026-09-21T16:00:00-04:00,after hours,183.07,183.383,182.16,182.8999,0,0.0,0.0,False
PLTR,2026-09-21T16:30:00-04:00,after hours,182.8845,182.9,182.5,182.7134,0,0.0,0.0,False
PLTR,2026-09-21T17:00:00-04:00,after hours,182.7102,187.035,182.71,182.7392,0,0.0,0.0,False
PLTR,2026-09-21T17:30:00-04:00,after hours,182.7392,182.98,182.71,182.78,0,0.0,0.0,False
PLTR,2026-09-21T18:00:00-04:00,after hours,182.9,183.09,182.78,183.0,0,0.0,0.0,False
PLTR,2026-09-21T18:30:00-04:00,after hours,182.99,183.09,182.9503,183.0204,0,0.0,0.0,False
PLTR,2026-09-21T19:00:00-04:00,after hours,183.0209,183.0397,182.71,182.84,0,0.0,0.0,False
PLTR,2026-09-21T19:30:00-04:00,after hours,182.93,183.03,182.84,183.02,0,0.0,0.0,False
PLTR,2026-09-22T16:00:00-04:00,after hours,184.97,185.1063,184.7512,184.83,0,0.0,0.0,False
PLTR,2026-09-22T16:30:00-04:00,after hours,184.85,185.39,184.8,185.3451,0,0.0,0.0,False
PLTR,2026-09-22T17:00:00-04:00,after hours,185.24,198.094,185.05,185.08,0,0.0,0.0,False
PLTR,2026-09-22T17:30:00-04:00,after hours,185.07,185.14,184.82,185.0712,0,0.0,0.0,False
PLTR,2026-09-22T18:00:00-04:00,after hours,185.07,185.25,185.07,185.0934,0,0.0,0.0,False
PLTR,2026-09-22T18:30:00-04:00,after hours,185.0901,185.23,185.07,185.0725,0,0.0,0.0,False
PLTR,2026-09-22T19:00:00-04:00,after hours,185.07,185.13,185.07,185.08,0,0.0,0.0,False
PLTR,2026-09-22T19:30:00-04:00,after hours,185.07,185.223,185.07,185.13,0,0.0,0.0,False
PLTR,2026-09-23T16:00:00-04:00,after hours,191.79,191.95,191.01,191.2669,0,0.0,0.0,False
PLTR,2026-09-23T16:30:00-04:00,after hours,191.25,191.79,191.0655,191.13,0,0.0,0.0,False
PLTR,2026-09-23T17:00:00-04:00,after hours,191.15,191.1676,190.84,191.06,0,0.0,0.0,False
PLTR,2026-09-23T17:30:00-04:00,after hours,191.02,191.79,190.95,191.06,0,0.0,0.0,False
PLTR,2026-09-23T18:00:00-04:00,after hours,191.1,191.79,191.0,191.3,0,0.0,0.0,False
PLTR,2026-09-23T18:30:00-04:00,after hours,191.27,191.79,191.02,191.0887,0,0.0,0.0,False
PLTR,2026-09-23T19:00:00-04:00,after hours,191.04,191.18,191.04,191.0546,0,0.0,0.0,False
PLTR,2026-09-23T19:30:00-04:00,after hours,191.05,191.17,191.02,191.07,0,0.0,0.0,False
QQQ,2026-09-18T16:00:00-04:00,after hours,721.28,723.001,721.25,722.4,0,0.0,0.0,False
QQQ,2026-09-18T16:30:00-04:00,after hours,722.449,722.879,721.45,722.0477,0,0.0,0.0,False
QQQ,2026-09-18T17:00:00-04:00,after hours,721.96,722.55,721.45,722.5015,0,0.0,0.0,False
QQQ,2026-09-18T17:30:00-04:00,after hours,722.48,722.74,722.4052,722.5,0,0.0,0.0,False
QQQ,2026-09-18T18:00:00-04:00,after hours,722.6365,722.8378,722.4001,722.53,0,0.0,0.0,False
QQQ,2026-09-18T18:30:00-04:00,after hours,722.46,722.583,717.2,722.1877,0,0.0,0.0,False
QQQ,2026-09-18T19:00:00-04:00,after hours,722.18,722.3932,722.12,722.3901,0,0.0,0.0,False
QQQ,2026-09-18T19:30:00-04:00,after hours,722.39,722.4975,721.89,722.0999,0,0.0,0.0,False
QQQ,2026-09-21T16:00:00-04:00,after hours,741.39,741.6,721.45,741.12,0,0.0,0.0,False
QQQ,2026-09-21T16:30:00-04:00,after hours,741.1792,741.47,740.72,741.2652,0,0.0,0.0,False
QQQ,2026-09-21T17:00:00-04:00,after hours,741.2478,741.47,741.07,741.29,0,0.0,0.0,False
QQQ,2026-09-21T17:30:00-04:00,after hours,741.3,741.54,741.24,741.3888,0,0.0,0.0,False
QQQ,2026-09-21T18:00:00-04:00,after hours,741.3,742.15,741.26,742.04,0,0.0,0.0,False
QQQ,2026-09-21T18:30:00-04:00,after hours,742.04,742.49,716.42,742.4,0,0.0,0.0,False
QQQ,2026-09-21T19:00:00-04:00,after hours,742.41,742.9,742.2899,742.7,0,0.0,0.0,False
QQQ,2026-09-21T19:30:00-04:00,after hours,742.7285,743.06,742.621,742.9869,0,0.0,0.0,False
QQQ,2026-09-22T16:00:00-04:00,after hours,747.42,747.54,746.75,746.81,0,0.0,0.0,False
QQQ,2026-09-22T16:30:00-04:00,after hours,746.8131,752.9634,746.5746,746.74,0,0.0,0.0,False
QQQ,2026-09-22T17:00:00-04:00,after hours,746.7,747.46,746.6025,746.7536,0,0.0,0.0,False
QQQ,2026-09-22T17:30:00-04:00,after hours,746.796,747.46,746.7,746.9,0,0.0,0.0,False
QQQ,2026-09-22T18:00:00-04:00,after hours,746.79,748.1324,746.78,747.92,0,0.0,0.0,False
QQQ,2026-09-22T18:30:00-04:00,after hours,747.92,748.179,747.4317,747.775,0,0.0,0.0,False
QQQ,2026-09-22T19:00:00-04:00,after hours,747.8215,748.2,747.8201,748.0,0,0.0,0.0,False
QQQ,2026-09-22T19:30:00-04:00,after hours,748.0401,748.4,747.82,748.3192,0,0.0,0.0,False
QQQ,2026-09-23T16:00:00-04:00,after hours,741.18,741.33,740.72,740.96,0,0.0,0.0,False
QQQ,2026-09-23T16:30:00-04:00,after hours,741.0171,741.3448,740.95,741.24,0,0.0,0.0,False
QQQ,2026-09-23T17:00:00-04:00,after hours,741.17,741.26,740.99,741.1632,0,0.0,0.0,False
QQQ,2026-09-23T17:30:00-04:00,after hours,741.0938,741.37,741.0301,741.3436,0,0.0,0.0,False
QQQ,2026-09-23T18:00:00-04:00,after hours,741.37,742.18,741.37,741.52,0,0.0,0.0,False
QQQ,2026-09-23T18:30:00-04:00,after hours,741.5369,741.88,741.44,741.7637,0,0.0,0.0,False
QQQ,2026-09-23T19:00:00-04:00,after hours,741.7693,741.8611,741.039,741.163,0,0.0,0.0,False
QQQ,2026-09-23T19:30:00-04:00,after hours,741.21,741.32,740.6899,740.8,0,0.0,0.0,False
SMCI,2026-09-18T16:00:00-04:00,after hours,39.09,39.36,38.9,39.0901,0,0.0,0.0,False
SMCI,2026-09-18T16:30:00-04:00,after hours,39.08,39.12,39.0,39.08,0,0.0,0.0,False
SMCI,2026-09-18T17:00:00-04:00,after hours,39.08,39.1,39.02,39.1,0,0.0,0.0,False
SMCI,2026-09-18T17:30:00-04:00,after hours,39.1,39.1,39.0506,39.08,0,0.0,0.0,False
SMCI,2026-09-18T18:00:00-04:00,after hours,39.065,39.09,39.02,39.04,0,0.0,0.0,False
SMCI,2026-09-18T18:30:00-04:00,after hours,39.0269,39.0682,38.92,38.95,0,0.0,0.0,False
SMCI,2026-09-18T19:00:00-04:00,after hours,38.95,39.05,38.95,39.0,0,0.0,0.0,False
SMCI,2026-09-18T19:30:00-04:00,after hours,39.0,39.08,38.99,39.08,0,0.0,0.0,False
SMCI,2026-09-21T16:00:00-04:00,after hours,41.2,41.24,41.05,41.129,0,0.0,0.0,False
SMCI,2026-09-21T16:30:00-04:00,after hours,41.1269,41.15,41.06,41.0995,0,0.0,0.0,False
SMCI,2026-09-21T17:00:00-04:00,after hours,41.0962,41.2,41.05,41.0804,0,0.0,0.0,False
SMCI,2026-09-21T17:30:00-04:00,after hours,41.0846,41.18,41.07,41.18,0,0.0,0.0,False
SMCI,2026-09-21T18:00:00-04:00,after hours,41.18,41.35,41.13,41.35,0,0.0,0.0,False
SMCI,2026-09-21T18:30:00-04:00,after hours,41.31,41.38,41.29,41.3431,0,0.0,0.0,False
SMCI,2026-09-21T19:00:00-04:00,after hours,41.35,41.4,41.34,41.37,0,0.0,0.0,False
SMCI,2026-09-21T19:30:00-04:00,after hours,41.36,41.45,41.36,41.44,0,0.0,0.0,False
SMCI,2026-09-22T16:00:00-04:00,after hours,41.54,41.56,41.3025,41.43,0,0.0,0.0,False
SMCI,2026-09-22T16:30:00-04:00,after hours,41.4492,41.54,41.35,41.5,0,0.0,0.0,False
SMCI,2026-09-22T17:00:00-04:00,after hours,41.5007,41.51,41.45,41.4672,0,0.0,0.0,False
SMCI,2026-09-22T17:30:00-04:00,after hours,41.492,41.54,41.42,41.42,0,0.0,0.0,False
SMCI,2026-09-22T18:00:00-04:00,after hours,41.42,41.53,41.42,41.48,0,0.0,0.0,False
SMCI,2026-09-22T18:30:00-04:00,after hours,41.4545,41.52,41.45,41.494,0,0.0,0.0,False
SMCI,2026-09-22T19:00:00-04:00,after hours,41.49,41.5,41.45,41.46,0,0.0,0.0,False
SMCI,2026-09-22T19:30:00-04:00,after hours,41.46,41.53,41.46,41.512,0,0.0,0.0,False
